COBERTURA,PERIODICIDAD,FECHA,CONCEPTO,VALOR,UNIDAD_MEDIDA,ESTATUS
Nacional,Mensual,01/07/2007,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",63.32600481,Índice,Cifras definitivas
Nacional,Mensual,01/08/2007,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",63.58399619,Índice,Cifras definitivas
Nacional,Mensual,01/09/2007,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",64.07770259,Índice,Cifras definitivas
Nacional,Mensual,01/10/2007,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",64.32740509,Índice,Cifras definitivas
Nacional,Mensual,01/11/2007,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",64.78122126,Índice,Cifras definitivas
Nacional,Mensual,01/12/2007,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",65.04905568,Índice,Cifras definitivas
Nacional,Mensual,01/01/2008,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",65.35056368,Índice,Cifras definitivas
Nacional,Mensual,01/02/2008,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",65.5448343,Índice,Cifras definitivas
Nacional,Mensual,01/03/2008,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",66.01989072,Índice,Cifras definitivas
Nacional,Mensual,01/04/2008,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",66.17012666,Índice,Cifras definitivas
Nacional,Mensual,01/05/2008,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",66.09863507,Índice,Cifras definitivas
Nacional,Mensual,01/06/2008,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",66.3721681,Índice,Cifras definitivas
Nacional,Mensual,01/07/2008,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",66.74205936,Índice,Cifras definitivas
Nacional,Mensual,01/08/2008,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",67.12749227,Índice,Cifras definitivas
Nacional,Mensual,01/09/2008,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",67.58493481,Índice,Cifras definitivas
Nacional,Mensual,01/10/2008,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",68.04548569,Índice,Cifras definitivas
Nacional,Mensual,01/11/2008,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",68.81894178,Índice,Cifras definitivas
Nacional,Mensual,01/12/2008,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",69.29555236,Índice,Cifras definitivas
Nacional,Mensual,01/01/2009,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",69.45614941,Índice,Cifras definitivas
Nacional,Mensual,01/02/2009,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",69.60949368,Índice,Cifras definitivas
Nacional,Mensual,01/03/2009,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",70.00995018,Índice,Cifras definitivas
Nacional,Mensual,01/04/2009,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",70.25499019,Índice,Cifras definitivas
Nacional,Mensual,01/05/2009,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",70.05035847,Índice,Cifras definitivas
Nacional,Mensual,01/06/2009,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",70.17935416,Índice,Cifras definitivas
Nacional,Mensual,01/07/2009,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",70.37051645,Índice,Cifras definitivas
Nacional,Mensual,01/08/2009,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",70.53888432,Índice,Cifras definitivas
Nacional,Mensual,01/09/2009,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",70.89271587,Índice,Cifras definitivas
Nacional,Mensual,01/10/2009,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",71.10719063,Índice,Cifras definitivas
Nacional,Mensual,01/11/2009,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",71.47604578,Índice,Cifras definitivas
Nacional,Mensual,01/12/2009,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",71.77185517,Índice,Cifras definitivas
Nacional,Mensual,01/01/2010,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",72.55204598,Índice,Cifras definitivas
Nacional,Mensual,01/02/2010,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",72.97167051,Índice,Cifras definitivas
Nacional,Mensual,01/03/2010,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",73.48972549,Índice,Cifras definitivas
Nacional,Mensual,01/04/2010,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",73.25556464,Índice,Cifras definitivas
Nacional,Mensual,01/05/2010,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",72.79397765,Índice,Cifras definitivas
Nacional,Mensual,01/06/2010,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",72.77118323,Índice,Cifras definitivas
Nacional,Mensual,01/07/2010,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",72.92919,Índice,Cifras definitivas
Nacional,Mensual,01/08/2010,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",73.1317495,Índice,Cifras definitivas
Nacional,Mensual,01/09/2010,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",73.51511019,Índice,Cifras definitivas
