AÑO,ENTIDAD,CULTIVO,VARIEDAD,UNIDAD_MEDIDA,TIPO_TECNOLOGIA,TIPO_PRODUCCION,TIPO_MERCADO,SUPERFICIE_SEMBRADA,SUPERFICIE_COSECHADA,SUPERFICIE_SINIESTRADA,VOLUMEN_PRODUCCION,RENDIMIENTO,PRECIO_MEDIO_RURAL,VALOR_PRODUCCION
2016,Coahuila,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,29279.0,29274.5,4.5,35401.54,1.21,3352.6,118687110
2016,Colima,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,11211.5,10496.5,715.0,41672.42,3.97,3272.07,136355280
2016,Chiapas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,594061.92,594061.92,0.0,1155513.73,1.95,3607.19,4168161610
2016,Chihuahua,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,79529.59,79529.59,0.0,127583.95,1.6,3387.04,432132550
2016,Ciudad de México,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,3628.9,3628.9,0.0,5059.65,1.39,4802.8,24300480
2016,Durango,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,153465.41,150468.45,2996.96,325001.28,2.16,3611.35,1173693900
2016,Guanajuato,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,441066.11,435718.11,5348.0,1843290.6,4.23,3552.51,6548311730
2016,Guerrero,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,480486.0,477884.36,2601.64,1329608.13,2.78,3886.12,5167012680
2016,Hidalgo,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,253092.65,248913.75,4178.9,730103.86,2.93,3740.43,2730905920
2016,Jalisco,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,460440.19,460440.19,0.0,2937091.89,6.38,3443.45,10113726400
2016,Estado de México,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,507813.59,506293.59,1520.0,2233215.08,4.41,3575.62,7985119500
2016,Michoacán,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,471892.0,465179.0,6713.0,1815124.2,3.9,3473.6,6305010840
2016,Morelos,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,25991.76,25991.76,0.0,74666.6,2.87,3496.15,261045580
2016,Nayarit,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,31351.59,31142.09,209.5,118886.84,3.82,3408.53,405228970
2016,Nuevo León,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,46013.38,23837.38,22176.0,37701.64,1.58,3500.22,131963910
2016,Oaxaca,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,552438.33,551428.33,1010.0,722496.8,1.31,3828.48,2766068110
2016,Puebla,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,550563.68,541738.99,8824.69,1045959.25,1.93,3644.4,3811896540
2016,Querétaro,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,110992.0,110992.0,0.0,316940.3,2.86,3366.12,1066859679
2016,Quintana Roo,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,75388.0,67078.5,8309.5,37986.69,0.57,3570.65,135637120
2016,San Luis Potosí,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,185734.3,133642.8,52091.5,153876.88,1.15,3586.86,551935480
2016,Sinaloa,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,592985.9,579767.4,13218.5,6136649.07,10.58,3473.54,21315878720
2016,Sonora,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,26457.45,24297.45,2160.0,170496.38,7.02,3268.98,557348830
2016,Tabasco,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,76761.0,76519.0,242.0,142355.0,1.86,3836.68,546170400
2016,Tamaulipas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,130161.06,120305.14,9855.92,408794.27,3.4,3230.65,1320669620
2016,Tlaxcala,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,135943.39,135943.39,0.0,416652.38,3.06,3433.84,1430716920
2016,Veracruz,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,585287.55,580138.55,5149.0,1273783.5,2.2,3857.53,4913658280
2016,Yucatán,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,87626.31,85925.79,1700.52,74601.37,0.87,3996.23,298124590
2016,Zacatecas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,181638.5,175176.5,6462.0,331207.32,1.89,3324.78,1101190140
2017,Aguascalientes,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,39666.0,39666.0,0.0,76700.49,1.93,3644.56,279539210
2017,Baja California,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,1589.0,1479.0,110.0,13640.97,9.22,3686.74,50290650
2017,Baja California Sur,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,8273.2,8269.2,4.0,62859.21,7.6,4047.48,254421180
2017,Campeche,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,164167.0,163777.0,390.0,439378.12,2.68,3336.0,1465764600
2017,Coahuila,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,30410.0,19372.0,11038.0,24636.44,1.27,3350.45,82543080
2017,Colima,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,11606.5,11606.5,0.0,49005.19,4.22,3457.93,169456280
2017,Chiapas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,598615.75,597428.75,1187.0,1150925.08,1.93,3597.72,4140710490
2017,Chihuahua,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,67587.0,67012.0,575.0,106123.97,1.58,3595.07,381523520
2017,Ciudad de México,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,3509.07,3509.07,0.0,4533.44,1.29,4882.05,22132480
2017,Durango,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,145767.13,141647.13,4120.0,334435.43,2.36,3718.0,1243432140
2017,Guanajuato,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,385011.0,383544.0,1467.0,1605592.19,4.19,3513.84,5641798140
2017,Guerrero,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,481401.97,468907.74,12494.23,1351014.48,2.88,3926.28,5304460550
2017,Hidalgo,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,245460.55,236547.54,8913.01,730598.61,3.09,3529.47,2578625030
2017,Jalisco,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,469248.05,469248.05,0.0,3196235.09,6.81,3694.47,11808395780
2017,Estado de México,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,497929.27,495539.27,2390.0,2149317.57,4.34,3691.49,7934182740
2017,Michoacán,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,455731.13,435883.13,19848.0,1820641.13,4.18,3505.19,6381690700
2017,Morelos,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,20475.8,20445.8,30.0,71038.24,3.47,3430.68,243709510
2017,Nayarit,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,32088.5,32088.5,0.0,135737.48,4.23,3518.7,477619180
2017,Nuevo León,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,60927.87,55588.87,5339.0,58228.81,1.05,3611.89,210316250
2017,Oaxaca,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,518332.9,512764.4,5568.5,700625.38,1.37,3816.78,2674132210
2017,Puebla,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,515761.02,505463.02,10298.0,1007233.45,1.99,3724.67,3751613500
2017,Querétaro,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,103682.24,103592.24,90.0,280631.78,2.71,3215.53,902379980
2017,Quintana Roo,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,70245.0,70095.0,150.0,78119.05,1.11,4312.78,336909950
2017,San Luis Potosí,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,230647.3,159413.3,71234.0,158039.25,0.99,3841.93,607175170
2017,Sinaloa,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,566372.7,566233.9,138.8,6084052.44,10.74,3549.97,21598214260
2017,Sonora,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,38755.0,38698.5,56.5,281451.16,7.27,3822.31,1075792490
2017,Tabasco,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,72532.0,68034.0,4498.0,124018.15,1.82,3891.56,482623650
2017,Tamaulipas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,108075.35,96636.49,11438.86,365381.47,3.78,3212.33,1173727540
